Accident_Id,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
202200034580,15,7,2022,11:40,1,09,09225,1,1,1,7,ROUTE NATIONALE 20,"43,1377100000","1,6133000000"
202200042687,11,6,2022,02:40,5,972,97213,1,1,2,6,MORNE PITAULT (ROUTE DE),"14,6239400000"," -60,9511100000"
202200053137,3,1,2022,12:10,2,13,13005,2,1,8,6,GOUMS (AVENUE DES),"43,2917988062","5,5614422283"
202200019176,11,3,2022,08:50,1,27,27554,1,1,1,1,COTES (RUE DES),"49,1019900000","1,4332800000"
202200022847,17,12,2022,01:25,3,988,98818,2,1,1,6,RUE HENRI MARTINET," -22,2587000000","166,4757300000"
202200011347,25,12,2022,01:00,3,77,77373,1,1,2,6,RN104,"48,7744700000","2,6119900000"
202200037554,6,4,2022,13:00,1,59,59507,1,1,1,3,Autoroute A1,"50,6088300000","3,0940300000"
202200003531,4,6,2022,21:00,1,64,64102,2,1,2,1,Avenue Docteur Maurice Delay,"43,4996200000"," -1,4614500000"
202200050517,16,2,2022,08:00,1,92,92020,2,3,8,7,REPUBLIQUE AV. N°27 A 105 ET 26 A 178,"48,8093547839","2,3010840118"
202200050402,24,10,2022,19:00,2,42,42069,2,3,1,3,Rue Jules Ferry,"45,9995930000","4,0613200000"
202200001207,5,7,2022,15:00,1,75,75108,2,7,1,3,PLACE DE LA CONCORDE,"48,8667660000","2,3220420000"
202200022512,28,1,2022,23:40,3,69,69297,1,1,1,2,Autoroute 7,"45,6152500000","4,8098800000"
202200050636,16,2,2022,18:25,2,01,01380,1,1,3,6,D97,"46,4506340000","5,1545900000"
202200053785,7,5,2022,10:50,1,2B,2B341,1,1,1,3,RT20,"42,2152330000","9,1765020000"
202200001963,5,6,2022,21:00,2,68,68362,1,1,2,1,D473,"47,5546780000","7,4654570000"
202200019472,5,9,2022,21:45,3,93,93027,1,1,8,4,AUTOROUTE A86,"48,9266500000","2,4038400000"
202200037261,8,4,2022,18:55,1,78,78423,1,1,4,6,RN12 EXT,"48,7979920000","2,0082620000"
202200001572,3,5,2022,12:07,1,75,75115,2,1,1,4,BD PERIPHERIQUE EXTERIEUR,"48,8343910000","2,2755460000"
202200030863,29,8,2022,21:25,3,35,35193,1,1,1,6,D82,"48,2353841032"," -1,7078965902"
202200035040,20,1,2022,07:10,3,60,60450,1,1,1,7,D609,"49,2278290000","2,2723450000"
202200008432,10,2,2022,09:25,1,13,13210,2,2,1,2,JACQUES HEBERT (RUE),"43,2831502436","5,3928188156"
202200032050,20,5,2022,03:00,3,56,56176,1,1,1,6,N165 sens Vannes/Lorient,"47,6681110000"," -2,9525760000"
202200027236,16,4,2022,12:00,1,973,97306,1,9,1,1,RN1 pk 223,"5,4346709360"," -53,7412333488"
202200001654,5,5,2022,17:30,1,29,29069,2,1,1,6,Rue de Kermonfort,"48,4242030000"," -4,5508290000"
202200039193,14,6,2022,08:00,1,75,75120,2,4,1,3,RUE LOUIS LUMIERE,"48,8625780000","2,4109210000"
202200012852,26,11,2022,14:00,1,86,86222,2,3,1,3,Route de Dissay,"46,6790830000","0,4089350000"
202200038883,16,6,2022,01:10,3,34,34154,1,1,1,7,D24e2,"43,6212770000","3,9796490000"
202200050041,24,10,2022,07:15,5,35,35238,2,1,1,6,FREVILLE (AVENUE HENRI),"48,0874200000"," -1,6743700000"
202200037076,24,8,2022,13:25,1,06,06027,1,1,1,2,"A8, PK 184.500 chaussée sud","43,6629050000","7,1724410000"
202200018674,30,1,2022,12:15,1,974,97411,1,9,1,6,JAURES (BOULEVARD JEAN)," -20,8996100000","55,4800300000"
202200034563,27,2,2022,17:20,1,93,93066,2,2,1,3,ANDRE CAMPRA (RUE),"48,9192400000","2,3544700000"
202200004448,4,7,2022,20:05,2,56,56156,1,9,1,3,Plousquen,"48,0239240000"," -3,2139090000"
202200021007,10,3,2022,07:26,1,973,97302,2,1,1,3,MONTABO (ROUTE DE) 1,"4,9319806829"," -52,3074102402"
202200003447,3,6,2022,18:35,1,71,71306,2,2,1,3,MONTCENIS (RUE DE),"46,6902424271","4,3479609042"
202200023484,17,4,2022,10:30,1,93,93066,2,1,1,1,Avenue Jean Moulin,"48,9414490000","2,3647120000"
202200053332,26,3,2022,15:50,1,75,75119,2,3,1,7,AVENUE SIMON BOLIVAR,"48,8764220000","2,3768450000"
202200044523,11,7,2022,17:58,1,13,13041,1,9,7,5,Route Departemental 46a,"43,4534290000","5,4927620000"
202200045295,30,3,2022,15:20,1,67,67043,1,3,2,3,TROIS MAIRES (RUE DES),"48,6299700000","7,7766300000"
202200037170,21,2,2022,17:05,1,63,63307,1,1,2,1,D2089 à Saulzet le Chaud,"45,7104800000","3,0723600000"
202200049311,9,5,2022,07:15,1,971,97120,2,3,1,3,CHANZY (BOULEVARD),"16,2409800000"," -61,5350000000"
202200034620,19,1,2022,17:55,2,92,92063,2,1,1,3,GALLIENI (RUE),"48,8735669916","2,2015818357"
202200004790,12,2,2022,09:45,1,13,13004,2,1,7,1,RUE PARMENTIER,"43,6747400000","4,6271300000"
202200016891,12,1,2022,13:54,1,02,02135,1,1,1,3,D1029,"49,9708770000","3,8688180000"
202200046312,9,6,2022,19:30,1,61,61169,2,1,1,1,JOSEPH MORIN (RUE),"48,7457500000"," -0,5525000000"
202200037941,26,9,2022,12:50,1,49,49015,2,6,1,3,DE GAULLE ROND POINT DU GENERAL,"47,5003900000"," -0,5904400000"
202200019957,8,10,2022,20:00,3,13,13001,1,9,1,1,"A8, pk 015.350, sens Aix en Provence /Lyon","43,5291200000","5,3979350000"
202200016820,26,5,2022,10:30,1,974,97406,1,4,1,3,Rue de la République," -21,1562470000","55,6024790000"
202200011085,19,11,2022,12:05,1,29,29019,2,2,1,6,rue de Royan,"48,4020428890"," -4,4988396973"
202200049073,25,10,2022,14:40,1,75,75112,1,1,1,2,A4,"48,8230000000","2,4629100000"
202200009023,24,4,2022,17:15,1,29,29039,1,2,3,4,D783 - D22 Rue des Roses,"47,8744500000"," -3,8984600000"
202200026204,10,11,2022,14:00,1,94,94041,2,1,1,6,GAGNEE (R),"48,8025200000","2,3814100000"
202200003242,3,6,2022,17:30,1,95,95427,2,1,1,2,Route de Calais,"48,9769220000","2,3647480000"
202200034127,18,11,2022,15:00,1,61,61006,2,9,1,6,ROUSSELETTES (RUE DES),"48,7271100000"," -0,0087000000"
202200042959,12,6,2022,20:00,1,59,59663,2,7,1,6,Place du général de gaulle,"50,8823999261","2,4683672190"
202200038752,31,5,2022,19:30,1,37,37262,1,4,7,3,D760,"47,1138020000","0,5036120000"
202200041509,14,5,2022,16:50,1,68,68248,2,1,1,7,3 Rue de Wolschwiller,"47,4883490000","7,3944050000"
202200015641,8,9,2022,23:30,3,26,26114,2,1,1,6,Rue des Reymonds,"44,5218460000","5,0669210000"
202200024385,22,5,2022,20:45,1,47,47325,1,1,1,6,D300,"44,3599730000","0,2779630000"
202200013669,23,4,2022,15:40,1,76,76351,2,3,1,6,PIERRE COURTADE (AVENUE),"49,5100600000","0,1837200000"
202200018474,2,2,2022,09:20,1,94,94052,2,3,2,6,Boulevard de la Marne,"48,8320700000","2,4765400000"
202200026840,20,7,2022,23:35,5,59,59569,2,1,2,6,MARTEL (RUE DES FRERES A . ET G.),"50,3667442586","3,0976831913"
202200038009,4,12,2022,20:05,5,87,87085,2,3,2,3,VIGENAL (BOULEVARD DU),"45,8523100000","1,2524600000"
202200021916,6,10,2022,10:45,1,93,93029,2,2,1,3,EDOUARD VAILLANT N° 1-97,"48,9284900000","2,4304200000"
202200022269,29,1,2022,13:30,1,974,97409,2,1,1,7,Grand Canal ( chemin)," -20,9562300000","55,6874100000"
202200034514,16,7,2022,13:35,1,972,97213,1,1,2,5,AUTOROUTE A1,"14,6181413000"," -61,0347686000"
202200043629,11,1,2022,18:00,1,974,97407,2,1,1,7,MONDON (AVENUE)," -20,9340000000","55,3010000000"
202200022475,30,1,2022,14:40,1,29,29002,1,1,1,7,D22 - Pont Kerlo,"47,9060549460"," -3,4210571050"
202200029794,7,11,2022,18:34,3,44,44162,1,1,1,4,N844,"47,1979900000"," -1,6189500000"
202200039449,28,10,2022,16:40,1,67,67447,2,1,1,6,PHARIO (PONT),"48,6126200000","7,7673400000"
202200038209,6,12,2022,12:45,1,75,75111,2,7,8,5,BOULEVARD VOLTAIRE,"48,8667230000","2,3651590000"
202200002633,16,9,2022,13:51,1,66,66136,2,3,1,6,CLEMENCEAU (BOULEVARD),"42,7005100000","2,8907300000"
202200036294,6,12,2022,18:30,5,92,92012,2,2,1,3,EMILE ZOLA (RUE),"48,8270500000","2,2383800000"
202200034297,17,7,2022,11:00,1,64,64102,2,1,1,1,Place de la Liberté,"43,4923800000"," -1,4743500000"
202200049120,10,5,2022,16:25,1,75,75113,2,2,1,2,AVENUE LEON BOLLEE,"48,8180341581","2,3603714257"
202200042379,1,12,2022,18:00,3,74,74118,1,1,8,1,18 AOUT (RUE DU),"46,1676680000","6,1993980000"
202200044938,1,4,2022,10:50,1,75,75113,2,3,2,3,AVENUE DES GOBELINS,"48,8339470000","2,3538410000"
202200039982,13,1,2022,23:15,5,80,80001,2,1,5,6,ROUVROY (de),"50,1104300000","1,8096500000"
202200005263,21,11,2022,14:00,1,971,97101,2,1,1,6,PETIT PEROU,"16,2517600000"," -61,5189400000"
202200009459,28,12,2022,13:30,1,55,55553,1,1,8,7,Route de Boncourt,"48,7763890000","5,5815830000"
202200023229,31,8,2022,17:15,1,63,63321,1,1,1,7,Route issoire,"45,5983800000","3,2919500000"
202200042430,23,2,2022,12:30,1,92,92012,2,6,1,2,ANCIENS COMBATTANT (ROND - POINT DES),"48,8479119235","2,2418247610"
202200028826,6,3,2022,14:00,1,34,34166,1,1,1,7,RD 28,"43,3520750000","3,3570310000"
202200029410,25,1,2022,18:55,3,57,57328,1,2,5,3,"lieu dit ""maison rouge""","48,9755700000","6,5156010000"
202200047445,10,1,2022,18:15,3,61,61317,1,1,1,6,Pre de l Oeillet,"48,7535360000","0,3594960000"
202200002101,23,11,2022,17:20,5,67,67218,1,6,2,6,ALFRED KASTLER (ROUTE),"48,5273100000","7,7350000000"
202200050275,5,7,2022,20:05,1,92,92051,2,9,1,2,"BINEAU (BOULEVARD, N°133 A 217 ET 134 A","48,8901731785","2,2715536952"
202200019736,22,4,2022,18:43,1,77,77445,2,1,1,3,MENDES-FRANCE (AVENUE PIERRE),"48,5946700000","2,5668200000"
202200039942,27,9,2022,11:50,1,33,33146,1,1,8,1,D2e7,"45,1161440000"," -0,7452310000"
202200015798,24,6,2022,17:26,1,87,87085,2,3,1,3,DUTREIX (RUE ARMAND) ?,"45,8336500000","1,2290000000"
202200034957,24,8,2022,08:15,1,50,50532,1,6,1,3,LANDE (ROUTE),"48,8040900000"," -1,5485000000"
202200024773,15,12,2022,16:05,1,13,13103,2,1,2,3,BOULEVARD PASQUET -LOUIS,"43,6374800000","5,0963400000"
202200051404,6,5,2022,20:45,3,987,98738,2,1,1,1,TAAPUNA LOTISSEMENT," -17,6008910000"," -149,6071390000"
202200002476,17,10,2022,08:30,1,55,55029,2,1,1,6,BRADFER ( RUE ERNEST ),"48,7690900000","5,1723000000"
202200025042,7,3,2022,13:05,1,988,98818,2,2,1,3,RUE MARCEL KOLLEN/RUE MARCELLIN LACABANNE," -22,2927500000","166,4438400000"
202200009330,20,11,2022,05:05,5,75,75107,2,7,1,7,PLACE DE LA RESISTANCE,"48,8619180000","2,3020160000"
202200031272,18,6,2022,22:10,5,31,31555,2,3,1,3,LASCROSSES (BD) DU 1AU 17,"43,6103100000","1,4348000000"
202200002174,23,11,2022,12:42,1,56,56260,2,2,6,1,28 Rue du Capitaine Jude,"47,6634300000"," -2,7652900000"
202200006777,30,7,2022,08:30,1,82,82176,1,3,1,6,Route d 8 Salvetat Monclar,"43,9781450000","1,5082760000"
202200006074,6,9,2022,13:30,1,76,76447,2,1,1,6,PIERRE ROUSSEAU,"49,5435400000","0,1892400000"
202200031059,28,8,2022,13:00,1,45,45145,1,1,1,7,D33 PR2+650,"48,1037614430","2,8257761986"
202200027874,10,11,2022,17:50,3,71,71013,1,2,5,3,Route de Fretterans,"46,9069750000","5,2965260000"
202200034682,24,8,2022,06:30,2,84,84091,1,1,1,2,nationale 7,"44,1868430000","4,7487440000"
202200027220,31,8,2022,10:20,1,74,74205,1,1,1,1,Route de Sévillon,"46,1863750000","6,4972970000"
202200002950,5,8,2022,17:00,1,976,97611,2,1,1,6,kaweni-Caserne ( rue de la )," -12,7742300000","45,2227100000"
202200030366,21,7,2022,09:25,1,63,63342,1,1,1,7,D26,"45,5459590000","3,0795410000"
202200041358,31,10,2022,11:20,1,85,85215,2,6,1,7,Avenue de la métairie,"46,8583720000"," -1,1734020000"
202200051099,12,8,2022,18:40,1,79,79309,1,1,1,7,,"46,5957200000"," -0,5682600000"
202200023628,16,4,2022,23:50,4,91,91432,1,1,1,2,AUTOROUTE A6,"48,6935800000","2,3202000000"
202200032105,2,10,2022,11:30,1,02,02397,1,1,2,1,,"49,7226240000","3,2387510000"
202200046228,10,8,2022,22:40,3,83,83115,1,1,1,6,D25,"43,3704920000","6,5963460000"
